id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
6762828910,42537,3,2.0,935,2954,1.0,0,0,3,7,635,300,1986,0,110068,28.8012,77.2763,935,3943,1,79,3108000
6762829013,42537,3,1.75,850,3766,1.0,0,0,3,7,850,0,1987,0,110068,28.5595,76.92,845,3702,2,77,3060000
6762829124,42537,3,1.5,440,3300,1.0,0,0,5,6,440,0,1945,0,110066,28.7329,77.0504,510,3300,3,63,3036000
6762829207,42537,2,1.5,544,680,2.0,0,0,3,7,544,0,1983,0,110034,28.7701,76.8876,549,734,2,53,3000000
6762829208,42537,4,2.5,900,4050,2.0,0,0,3,7,900,0,1998,0,110025,28.7142,77.1226,795,4050,1,67,3000000
6762829209,42537,3,1.75,580,3067,1.0,0,0,3,7,580,0,1998,0,110075,28.4728,77.1849,665,3150,1,54,3000000
6762829413,42537,3,1.75,685,4359,1.0,0,0,3,7,685,0,1982,0,110036,28.8204,77.3206,685,3762,3,50,2966400
6762829587,42537,3,1.75,640,3762,1.5,0,0,4,7,640,0,1988,0,110070,28.6588,77.2197,750,3888,1,64,2904000
6762829701,42537,3,1.0,570,4183,1.0,0,0,5,6,570,0,1943,0,110047,28.5356,77.1206,480,3600,1,52,2879400
6762829801,42537,3,1.75,595,3640,1.0,0,0,4,7,595,0,1968,0,110024,28.6041,77.3163,625,3900,3,72,2820000
6762830031,42537,3,2.0,705,3733,1.0,0,0,3,7,705,0,1983,0,110047,28.418,77.0892,705,3805,3,50,2759400
6762830543,42537,1,1.0,465,3564,1.0,0,0,3,6,465,0,1948,0,110039,28.4614,77.1306,650,4037,1,66,2520000
6762830667,42537,3,1.0,660,3500,1.0,0,0,4,7,660,0,1967,0,110075,28.7675,77.148,630,3727,3,57,2472000
6762830725,42537,4,1.75,870,4672,1.0,0,0,3,7,590,280,1978,0,110019,28.4,77.055,720,6442,2,72,2459400
6762830880,42537,3,1.5,715,3673,1.0,0,0,3,7,410,305,1980,0,110019,28.6,77.2692,715,4361,2,55,2376000
6762831037,42537,3,1.5,590,3500,1.0,0,0,4,7,590,0,1977,0,110019,28.6508,76.9426,590,3685,3,61,2250000
6762831244,42537,4,1.0,960,6893,1.0,0,0,4,7,610,350,1966,0,110073,28.4262,77.1274,745,5600,2,73,2040000
6762831474,42537,4,0.75,720,6650,1.0,0,0,3,6,720,0,1948,0,110032,28.8671,77.2111,730,5550,2,77,1710000
6762810029,42538,4,3.0,3215,13758,2.0,0,0,3,12,3215,0,2001,0,110049,28.5085,77.302,1860,7296,1,71,53880000
6762810065,42538,4,4.25,2425,6222,2.0,1,4,5,10,1925,500,1989,0,110034,28.546,77.292,1675,6105,3,70,36000000
6762810450,42538,6,5.0,3025,115326,2.0,0,3,3,11,3025,0,2001,0,110037,28.5459,77.1044,2105,116985,1,50,19200000
6762810641,42538,3,2.0,1010,2750,1.5,0,3,3,10,895,115,1937,0,110033,28.5106,77.1716,1290,2750,1,56,16800000
6762810642,42538,4,2.75,1935,5023,2.0,0,0,3,11,1935,0,2005,0,110010,28.4007,77.0471,1780,5023,3,65,16800000
6762810684,42538,4,3.25,2145,6051,1.0,0,3,3,11,1345,800,1997,0,110028,28.7501,77.0841,1930,5622,3,58,16560000
6762811088,42538,4,3.5,2340,4850,2.0,0,0,3,10,1680,660,2005,0,110028,28.8641,77.3031,1400,6171,1,64,13920000
6762811624,42538,4,2.5,2135,21693,1.0,0,0,3,10,1340,795,1991,0,110046,28.5077,77.3154,1815,18090,2,77,11700000
6762811992,42538,4,2.5,1820,5288,2.0,0,0,3,11,1820,0,1999,0,110021,28.7183,77.2977,1685,5175,2,55,10956000
6762812060,42538,6,3.0,1510,6891,2.0,0,0,3,8,1510,0,1952,2002,110059,28.7561,76.9192,860,6750,1,80,10800000
6762812416,42538,4,2.25,1095,2040,2.0,0,0,3,8,900,195,1918,0,110001,28.8072,77.275,1050,2040,2,59,10260000
6762812459,42538,5,3.5,1725,14162,1.0,0,0,5,8,1175,550,1972,0,110010,28.6029,77.3242,1320,7489,2,74,10200000
6762812714,42538,4,3.5,1905,4896,2.0,0,0,3,9,1905,0,1938,2013,110054,28.5454,77.0306,975,4896,1,56,9900000
6762812777,42538,4,2.5,1585,4261,2.0,0,0,3,9,1585,0,2008,0,110010,28.5561,77.1093,1615,4261,2,50,9840000
6762813365,42538,3,2.25,1455,5102,2.0,0,0,3,9,1455,0,1990,0,110003,28.7421,77.2395,1350,6996,3,69,9240000
6762813366,42538,4,2.5,1605,7455,2.0,0,0,3,10,1605,0,1995,0,110020,28.7921,77.131,1640,7455,3,68,9240000
6762813450,42538,4,2.5,1395,3969,2.0,0,0,3,9,1395,0,1997,0,110020,28.4872,77.3467,1390,3889,3,63,9168000
6762813810,42538,3,2.5,1210,21588,2.0,0,4,4,8,845,365,1989,0,110021,28.5781,77.0779,1870,4358,1,54,8878656
6762814218,42538,4,1.75,990,5400,1.0,0,0,5,6,495,495,1948,0,110059,28.8329,77.207,1090,5400,2,73,8532000
6762814546,42538,3,3.25,770,714,3.0,0,0,3,9,770,0,2013,0,110029,28.7872,77.2463,830,1650,1,67,8280000
6762814604,42538,3,3.0,1725,8100,2.0,0,0,3,10,1725,0,1983,0,110020,28.8727,77.0971,1565,6075,3,53,8256000
6762815237,42538,5,1.75,630,2250,1.5,0,0,3,7,630,0,1926,0,110001,28.762,77.2785,705,2194,2,67,7800000
6762815238,42538,3,1.75,1460,4685,1.0,0,0,4,8,810,650,1981,0,110028,28.5887,77.1231,1445,4804,2,80,7800000
6762815239,42538,3,1.5,660,4057,1.0,0,0,3,8,660,0,1951,0,110049,28.6835,77.0558,1055,4057,3,53,7800000
6762815385,42538,5,2.75,1435,2230,1.0,0,0,3,7,825,610,1976,0,110027,28.7173,76.9039,945,2098,2,72,7752000
6762815660,42538,4,2.5,1403,4715,2.0,0,0,3,8,1403,0,1996,0,110060,28.4377,77.0467,1014,5528,1,65,7560000
6762815890,42538,4,2.5,955,3841,2.0,0,0,3,8,955,0,1987,0,110012,28.6614,77.217,990,4242,2,75,7440000
6762815994,42538,5,2.25,1240,6035,2.0,0,0,3,9,1240,0,1978,0,110020,28.7405,77.3106,1285,6000,2,63,7380000
6762816789,42538,4,2.5,1625,2500,2.0,0,0,3,8,1625,0,2008,0,110016,28.4803,76.9758,1615,2753,2,67,6960000
6762817010,42538,5,3.25,1580,5000,2.0,0,0,4,8,1580,0,1980,0,110012,28.7747,77.0276,1065,5000,3,68,6899400
6762817058,42538,4,2.5,1145,3369,2.0,0,0,3,8,1145,0,1996,0,110011,28.6802,76.927,1050,3130,3,51,6840000
6762817145,42538,5,3.5,1630,29403,2.0,0,0,4,8,1630,0,1969,0,110036,28.8571,77.1954,905,8963,2,51,6821400
6762817258,42538,2,2.0,845,2250,1.0,0,0,3,8,845,0,2004,0,110046,28.4204,77.3301,820,2250,1,57,6768000
6762817290,42538,5,3.0,1397,7550,2.0,0,0,3,8,1397,0,1996,0,110057,28.5274,77.1705,1375,7283,1,69,6744000
6762817403,42538,2,1.0,620,3200,1.0,0,1,4,7,530,90,1938,0,110067,28.6887,77.1585,620,3200,2,50,6708000
6762817456,42538,3,1.75,1020,3000,1.0,0,0,5,7,560,460,1958,0,110009,28.5423,77.1267,765,3125,1,50,6660000
6762817509,42538,5,2.25,935,5705,1.0,0,0,4,8,585,350,1961,0,110015,28.7429,76.8942,1210,5396,2,69,6648000
6762817816,42538,3,2.5,780,4680,1.5,0,0,4,7,680,100,1936,0,110062,28.7643,77.2148,835,3122,1,57,6546000
6762817950,42538,4,2.5,1025,17111,2.0,0,0,4,8,1025,0,1989,0,110038,28.4492,77.151,1120,25700,3,77,6480000
6762817951,42538,3,1.75,985,4100,1.0,0,0,5,8,710,275,1963,0,110052,28.6467,77.1807,1070,4000,3,57,6480000
6762818084,42538,3,1.75,965,3180,1.0,0,0,3,9,965,0,2013,0,110007,28.6443,77.2994,1385,3186,1,71,6441012
6762818121,42538,3,2.0,1060,2040,2.0,0,0,3,7,1060,0,2003,0,110046,28.5773,77.242,1140,2040,3,78,6420000
6762818122,42538,4,2.5,1305,2297,2.0,0,0,3,8,1305,0,2008,0,110060,28.8478,77.2405,1220,2294,2,55,6420000
6762818714,42538,4,2.5,1460,3850,2.0,0,0,3,9,1460,0,2003,0,110057,28.7972,77.3136,1460,4471,3,71,6186000
6762818727,42538,3,3.5,680,709,2.0,0,0,3,8,520,160,2007,0,110027,28.7347,77.345,780,988,1,61,6180000
6762818955,42538,5,3.25,1925,8124,2.0,0,2,3,9,1515,410,2002,0,110024,28.7429,77.1406,1320,3696,1,52,6084000
6762818956,42538,4,1.75,885,4687,1.0,0,0,4,7,585,300,1968,0,110003,28.6216,76.9044,770,4687,2,53,6084000
6762819630,42538,2,2.5,715,461,3.0,0,0,3,8,705,10,2008,0,110029,28.8421,77.0796,810,752,2,65,5820000
6762819734,42538,3,3.25,690,560,3.0,0,0,3,8,690,0,2008,0,110029,28.7334,77.2438,655,702,2,69,5784000
6762819942,42538,3,1.75,850,4216,1.0,0,0,3,8,615,235,1977,0,110023,28.7499,76.8639,900,3921,2,58,5700000
6762820192,42538,5,2.5,1120,3771,1.0,0,0,3,7,570,550,1966,0,110052,28.8136,76.8784,1055,3704,2,58,5628000
6762820280,42538,3,1.75,755,2400,1.0,0,2,3,7,430,325,1925,2011,110067,28.5316,76.8836,755,2400,2,64,5580000
6762820418,42538,3,3.25,1385,3139,2.0,0,0,3,9,990,395,2006,0,110055,28.7874,77.2155,950,3674,1,51,5532000
6762820616,42538,3,1.75,590,7146,1.0,0,0,3,7,590,0,1981,0,110026,28.4937,77.1006,740,7200,3,56,5460000
6762820782,42538,3,1.75,590,2040,1.0,0,0,4,6,380,210,1928,0,110006,28.5658,77.0344,745,2040,2,51,5400000
6762821223,42538,4,2.5,1205,2390,2.0,0,0,3,7,1205,0,2000,0,110007,28.5611,76.9028,1205,2012,1,74,5280000
6762821998,42538,3,2.0,835,3850,1.0,0,0,3,7,585,250,1972,0,110034,28.8697,77.2161,750,3937,2,60,5088000
6762822282,42538,3,1.75,635,2400,1.0,0,0,3,7,635,0,1952,2014,110067,28.8111,77.0105,610,2400,1,69,4980000
6762822283,42538,4,2.5,1010,2750,2.0,0,0,3,7,1010,0,2010,0,110016,28.7366,76.9827,1010,2747,2,61,4980000
6762822461,42538,4,2.0,985,5250,1.0,0,0,3,8,910,75,1961,0,110032,28.749,77.1762,1045,6150,2,57,4920000
6762822584,42538,4,1.5,1155,34412,2.0,0,0,4,7,1155,0,1968,0,110065,28.6698,77.1295,1010,19950,3,52,4889400
6762822716,42538,5,2.5,1800,8650,1.0,0,0,4,8,1205,595,1968,0,110032,28.8546,77.0312,1310,15100,2,78,4842000
6762822814,42538,3,1.75,525,3075,1.5,0,0,4,6,475,50,1928,0,110009,28.6382,77.1707,680,3075,2,54,4800000
6762823548,42538,3,3.25,844,694,3.0,0,0,3,8,844,0,2008,0,110023,28.5826,76.9856,729,692,3,54,4612800
6762823840,42538,2,1.0,470,4919,1.0,0,0,3,6,470,0,1910,0,110017,28.4783,77.2474,665,4370,3,61,4500000
6762823841,42538,3,2.5,975,3435,2.0,0,0,3,8,975,0,1997,0,110015,28.7774,76.9647,975,3831,2,59,4500000
6762824253,42538,3,2.5,1320,3357,2.0,0,0,3,8,840,480,1991,0,110047,28.7525,76.9294,1130,3686,3,53,4380000
6762825243,42538,2,1.0,550,2100,1.0,0,0,3,7,550,0,1954,0,110017,28.5845,77.2412,620,2000,3,53,4122792
6762825762,42538,3,2.5,800,13488,2.0,0,0,3,8,800,0,2005,0,110057,28.4121,77.2039,895,13871,2,52,3960000
6762826008,42538,3,2.75,1100,3500,1.0,0,0,4,7,640,460,1977,0,110047,28.8027,76.9413,835,3500,1,75,3900000
6762826201,42538,4,2.5,910,3376,2.0,0,0,3,7,910,0,1994,0,110025,28.4055,76.9081,910,3553,3,70,3870000
6762826475,42538,3,2.5,865,3184,2.0,0,0,3,7,865,0,1993,0,110025,28.7378,77.2692,890,3298,1,68,3780000
6762826687,42538,4,2.5,1330,6336,1.0,0,0,4,8,870,460,1960,0,110041,28.8657,77.2383,1140,6238,3,68,3720000
6762826795,42538,3,2.25,745,647,2.0,0,0,3,7,610,135,2010,0,110035,28.6101,77.0136,745,641,1,52,3708000
6762827077,42538,3,2.5,850,1787,2.0,0,0,3,7,850,0,2000,0,110062,28.5128,77.1791,795,1690,3,70,3600000
6762827078,42538,3,1.0,455,3850,1.0,0,0,4,7,455,0,1971,0,110034,28.7383,76.9121,625,3850,3,65,3600000
6762827253,42538,5,2.5,1110,4680,1.0,0,0,4,7,555,555,1968,0,110047,28.7922,77.1035,890,3852,2,64,3588000
6762827358,42538,3,2.0,690,4341,1.0,0,0,4,7,690,0,1966,0,110063,28.6623,76.8594,705,5297,1,52,3540000
6762827684,42538,4,2.5,1285,4500,1.0,0,0,4,8,795,490,1979,0,110019,28.8642,77.0458,1060,4285,1,72,3450000
6762827829,42538,3,1.0,495,5361,1.0,0,0,5,7,495,0,1960,0,110016,28.4248,76.8874,730,5361,2,50,3419400
6762828026,42538,5,1.75,1075,3585,1.0,0,0,4,7,730,345,1970,0,110070,28.6423,77.0876,855,3650,3,79,3359400
6762828287,42538,3,2.25,860,4500,1.0,0,0,4,8,660,200,1969,0,110019,28.7449,77.0608,965,4000,1,73,3294000
6762828569,42538,3,2.25,792,1400,2.0,0,0,3,7,792,0,2012,0,110075,28.8141,77.0722,792,1400,2,70,3204000
6762828614,42538,4,1.5,1025,3550,1.0,0,0,3,7,525,500,1963,0,110040,28.486,76.8727,975,3675,1,53,3180000
6762828701,42538,4,1.75,885,4505,1.0,0,0,5,7,525,360,1983,0,110036,28.784,77.0308,705,4265,3,55,3179400
6762828717,42538,4,1.75,910,4059,1.0,0,0,4,7,540,370,1980,0,110070,28.6653,77.2282,905,4025,3,76,3168000
6762829111,42538,4,2.0,1015,4800,1.5,0,0,3,6,715,300,1947,0,110073,28.5903,77.0345,910,7300,2,65,3045348
6762829187,42538,2,1.0,395,5617,1.0,0,0,4,6,395,0,1942,0,110032,28.4632,77.2076,965,5935,1,62,3003300
6762829588,42538,3,2.0,630,4046,1.0,0,0,3,7,630,0,1986,0,110025,28.8153,77.0347,975,4046,1,63,2904000
6762829625,42538,2,1.0,335,5460,1.0,0,0,3,6,335,0,1942,0,110054,28.4755,77.0616,450,3712,3,65,2880000
6762829702,42538,3,1.75,835,3450,1.0,0,0,3,7,585,250,1978,0,110019,28.5487,77.1319,870,3500,3,56,2879400
6762829953,42538,2,1.0,540,4717,1.0,0,0,3,6,540,0,1958,0,110047,28.5392,77.3253,600,4605,1,59,2760000
6762830270,42538,3,1.0,565,6259,1.0,0,0,3,7,565,0,1958,0,110055,28.8183,76.9044,730,6253,2,55,2640000
6762830668,42538,2,1.5,910,4433,2.0,0,0,3,7,910,0,1921,0,110058,28.7229,76.8665,715,4644,1,68,2472000
6762830963,42538,3,1.0,540,4290,1.5,0,0,3,6,540,0,1900,0,110058,28.7824,77.154,900,6336,2,80,2310000
6762830982,42538,1,1.0,360,2400,1.0,0,0,3,6,360,0,1914,0,110053,28.5202,77.3245,620,2430,2,80,2280000
6762831124,42538,3,2.25,995,3175,2.0,0,0,3,7,995,0,1967,0,110044,28.6999,77.3449,610,3125,3,68,2160000
6762831190,42538,2,1.0,330,2500,1.0,0,0,3,6,330,0,1915,0,110035,28.6744,77.0921,500,2500,2,78,2100000
6762831191,42538,6,1.0,685,2540,1.5,0,0,3,6,560,125,1931,0,110035,28.7998,77.084,510,2540,2,63,2100000
6762810183,42539,5,4.75,2995,5225,2.0,1,4,3,11,2025,970,2002,0,110012,28.8349,77.1725,1665,7405,2,79,26400000
6762810302,42539,5,3.0,1940,6500,2.0,0,0,3,10,1940,0,1972,2003,110059,28.4058,77.1278,1735,6850,3,61,21840000
6762810520,42539,4,3.25,1810,2565,2.0,0,3,4,11,1175,635,1927,0,110001,28.7235,77.167,1275,2587,2,62,18360000
6762810606,42539,3,3.5,1935,1909,2.0,0,0,3,11,1380,555,2002,0,110013,28.4249,77.287,1265,2750,3,62,17280000
6762810750,42539,4,2.5,1220,1800,2.5,0,0,4,8,1220,0,1902,0,110001,28.6635,77.2232,1220,2720,2,50,15960000
6762810782,42539,4,4.5,2375,6956,2.0,0,2,3,10,1800,575,2005,0,110053,28.5381,77.0984,1800,11062,3,52,15720000
6762810925,42539,4,3.5,1910,6612,2.0,0,0,3,10,1640,270,1990,0,110049,28.5473,77.0809,1670,4850,2,59,14880000
6762811041,42539,5,3.0,1665,9563,2.0,0,0,4,11,1305,360,1977,0,110059,28.5694,77.1698,1665,8446,2,60,14280000
6762811298,42539,5,3.5,1995,4969,2.0,0,0,3,11,1995,0,2001,0,110016,28.6982,77.0779,1745,5867,3,66,12840000
6762811418,42539,3,2.5,1215,5250,2.0,0,1,3,9,1215,0,1989,0,110049,28.5603,77.0789,1720,6421,2,69,12360000
6762811803,42539,2,2.5,1270,3544,2.0,0,0,3,9,1270,0,2004,0,110009,28.7517,76.8582,665,3544,3,72,11340000
6762811871,42539,5,2.0,1765,4692,1.5,0,0,3,9,1765,0,1925,0,110056,28.5942,76.937,2050,4601,1,70,11160000
6762811896,42539,4,2.5,1640,104544,2.0,0,0,3,10,1640,0,1994,0,110046,28.4328,77.0943,1230,19749,2,64,11100000
6762812096,42539,4,2.25,1185,3000,1.0,0,2,3,8,720,465,1959,0,110052,28.7762,77.2613,1640,4421,3,79,10788000
6762812460,42539,2,1.75,795,2568,1.5,0,3,3,9,660,135,1927,0,110033,28.5372,76.9894,1260,2621,2,80,10200000
6762812922,42539,3,3.0,1955,9511,2.0,0,0,3,11,1955,0,1985,0,110042,28.6077,77.1113,930,7500,2,56,9660000
6762813039,42539,4,2.5,1295,3955,2.0,0,0,3,9,1295,0,2001,0,110005,28.729,77.0225,850,3744,1,74,9588000
6762813285,42539,4,2.75,1505,7996,2.0,0,0,3,11,1505,0,1996,0,110021,28.5596,76.9024,1665,6166,2,60,9300000
6762813367,42539,3,2.5,1325,20352,2.0,0,0,3,9,1325,0,1994,0,110046,28.4272,77.3291,1275,21312,1,69,9240000
6762813547,42539,4,2.25,1080,2800,1.0,0,0,5,7,540,540,1947,0,110001,28.5795,77.2773,925,2575,1,64,9072000
6762813607,42539,3,3.5,1695,5039,2.0,0,0,3,10,1520,175,2012,0,110055,28.8533,76.8892,1645,6166,2,64,9000000
6762813874,42539,4,2.5,1325,3442,2.0,0,0,3,8,1325,0,2012,0,110046,28.708,77.2099,1260,2933,1,64,8819880
6762813959,42539,3,2.5,1160,3387,1.0,0,0,3,8,1160,0,2008,0,110046,28.7223,77.0238,840,2375,1,57,8736600
6762814075,42539,4,2.5,1220,17145,2.0,0,0,3,9,1220,0,1987,0,110046,28.7035,77.3474,1430,19059,3,63,8640000
6762814209,42539,3,2.75,1600,3349,2.0,0,0,3,9,1600,0,2004,0,110021,28.4955,77.0012,1510,3349,3,54,8544000
6762814329,42539,3,2.0,680,2990,1.5,0,0,3,8,680,0,1945,2008,110009,28.6008,76.9694,760,2220,3,60,8436000
6762814698,42539,6,2.0,835,1500,1.0,0,0,5,7,450,385,1911,0,110002,28.7605,77.1339,665,549,3,79,8160000
6762815037,42539,4,2.5,1248,4029,2.0,0,0,3,9,1248,0,1998,0,110003,28.4487,77.2676,1248,3878,1,64,7932000
6762815104,42539,4,3.0,1310,9181,1.0,0,0,4,8,935,375,1956,0,110028,28.5334,76.9463,1315,8396,1,72,7914000
6762815386,42539,4,2.5,1155,2039,2.0,0,0,3,8,1155,0,2008,0,110006,28.5326,77.2047,610,2400,3,51,7752000
6762815938,42539,4,2.5,1135,4623,1.0,0,0,5,8,750,385,1972,0,110028,28.6074,76.8807,1135,4581,3,62,7438200
6762815956,42539,4,3.25,1260,1680,1.5,0,0,4,8,775,485,1931,0,110005,28.8706,77.3095,865,1680,2,64,7419000
6762816156,42539,3,3.25,765,806,3.0,0,0,3,8,765,0,2006,0,110027,28.4324,76.8905,765,805,3,78,7290000
6762816289,42539,3,2.0,1270,118701,1.0,0,0,3,9,1270,0,2007,0,110071,28.649,77.3071,1100,114562,2,62,7200000
6762816290,42539,4,2.25,1535,4200,2.0,0,0,4,8,1535,0,1970,0,110034,28.4861,77.0954,940,4000,3,68,7200000
6762816547,42539,3,1.5,735,3600,2.0,0,0,4,7,735,0,1907,0,110053,28.8659,77.074,765,3600,2,51,7083600
6762816677,42539,4,2.5,1420,5522,2.0,0,0,3,8,1420,0,2001,0,110034,28.4544,77.3367,967,4802,3,70,7020000
6762816790,42539,4,2.25,1080,4796,1.0,0,0,3,8,1080,0,1969,0,110030,28.5937,77.3452,1410,4814,2,51,6960000
6762816908,42539,3,2.5,970,4500,1.0,0,0,4,7,485,485,1948,0,110006,28.7542,77.1751,1095,3655,2,61,6912000
6762817412,42539,4,2.25,1030,5179,1.0,0,0,4,8,660,370,1962,0,110028,28.7382,76.9136,1030,4838,3,58,6696000
6762817759,42539,4,1.75,645,1530,2.0,0,0,4,7,645,0,1906,0,110029,28.6029,77.1031,755,2040,1,51,6588000
6762817898,42539,3,2.25,620,474,3.0,0,0,3,8,620,0,2008,0,110029,28.5663,77.1146,655,570,3,64,6516000
6762817934,42539,5,3.75,1545,3707,2.0,0,0,3,8,1545,0,2014,0,110032,28.5909,77.1072,1395,3712,2,54,6486000
6762818596,42539,3,1.75,970,109763,1.0,0,0,3,7,970,0,1991,0,110025,28.5269,77.1347,1030,54450,1,57,6240000
6762818656,42539,3,2.75,1010,5372,1.0,0,0,5,7,635,375,1954,0,110032,28.4986,76.8594,1010,5534,1,55,6228000
6762818854,42539,4,2.5,1305,4015,2.0,0,0,3,8,1305,0,1998,0,110015,28.6319,77.2056,1160,4015,2,74,6120000
6762818957,42539,3,2.5,1060,3600,2.0,0,0,3,8,1060,0,2003,0,110039,28.5289,77.2062,965,3603,2,70,6084000
6762818971,42539,2,1.0,785,4105,1.0,0,0,4,8,575,210,1952,0,110052,28.538,76.9077,840,4098,1,57,6072000
6762818986,42539,3,2.5,805,2305,2.0,0,0,3,8,805,0,1996,0,110011,28.7152,77.1351,865,2230,3,54,6060000
6762819086,42539,3,2.5,1420,24358,1.0,0,3,3,9,935,485,1994,0,110042,28.8649,77.1342,1355,21838,3,51,6000000
6762819269,42539,3,1.75,920,2500,1.0,0,0,4,7,460,460,1910,0,110006,28.6897,77.1912,610,2500,3,78,5988000
6762819553,42539,3,2.25,910,3663,2.0,0,0,3,8,910,0,1983,0,110034,28.437,76.8927,1215,3848,1,66,5879400
6762819943,42539,3,2.5,475,555,2.0,0,0,3,8,475,0,2003,0,110013,28.4363,77.1633,615,607,3,60,5700000
6762820120,42539,3,2.0,865,19442,1.0,0,0,3,8,865,0,1997,0,110025,28.8567,76.9904,1065,45520,2,77,5640000
6762820368,42539,3,1.0,660,1812,2.0,0,0,3,7,660,0,1900,0,110045,28.5427,77.1035,830,2719,1,51,5568000
6762820783,42539,3,1.75,805,5600,1.0,0,0,3,7,805,0,1955,0,110010,28.4442,77.2367,805,5600,2,56,5400000
6762820784,42539,4,2.5,1200,3846,2.0,0,0,3,8,1200,0,2003,0,110016,28.6875,77.2028,1200,4019,3,73,5400000
6762821224,42539,3,1.75,585,4370,1.0,0,0,4,7,585,0,1968,0,110003,28.6994,76.9095,935,4224,1,65,5280000
6762821407,42539,2,1.75,720,2112,1.0,0,0,3,8,720,0,2005,0,110046,28.7113,77.1456,840,3100,3,54,5244000
6762821425,42539,2,1.0,395,3300,1.0,0,0,3,6,395,0,1949,0,110045,28.5284,77.3346,760,2200,1,76,5232000
6762821461,42539,3,1.75,655,4032,1.0,0,0,4,6,655,0,1948,0,110006,28.4073,76.9284,710,4050,1,74,5220000
6762821731,42539,4,2.5,1320,4312,2.0,0,0,3,8,1320,0,1987,0,110047,28.8632,77.2765,1120,4350,1,74,5158800
6762822462,42539,6,2.75,1260,4662,1.0,0,0,4,7,660,600,1962,0,110015,28.5204,77.2013,910,5500,3,53,4920000
6762822635,42539,2,1.0,630,2188,1.0,0,0,4,7,630,0,1947,0,110029,28.7245,77.237,710,3188,3,77,4860000
6762822774,42539,4,1.0,970,2876,1.5,0,0,3,7,970,0,1947,0,110052,28.7392,76.991,1085,3037,2,61,4812000
6762822979,42539,4,2.25,910,4127,1.5,0,0,4,7,660,250,1930,0,110039,28.6928,76.9939,775,3814,1,77,4798656
6762823107,42539,4,1.0,990,5175,1.0,0,0,4,7,715,275,1968,0,110012,28.5502,77.303,945,6570,3,55,4740000
6762823254,42539,3,2.25,800,5120,1.0,0,0,3,7,545,255,1979,0,110034,28.5301,77.0299,760,4697,3,53,4680000
6762823473,42539,3,1.75,1155,5600,1.0,0,0,4,8,815,340,1978,0,110068,28.6869,76.8815,1175,6650,1,63,4620000
6762823635,42539,4,2.25,1075,10090,1.0,0,0,3,7,545,530,1963,0,110060,28.8157,77.1503,1075,5240,1,70,4560000
6762823770,42539,3,2.5,1080,1500,1.5,0,0,3,7,630,450,1909,2011,110053,28.8544,76.9124,530,1750,2,78,4545000
6762824363,42539,3,2.5,900,1350,2.0,0,0,3,8,900,0,2011,0,110067,28.4508,77.2483,690,600,3,68,4350000
6762824413,42539,4,2.5,1425,2325,2.0,0,0,3,8,1425,0,2004,0,110025,28.4743,77.1709,1425,2325,1,74,4320000
6762824799,42539,3,2.0,715,3000,1.0,0,0,5,7,715,0,1945,0,110015,28.8535,77.2874,815,3157,2,77,4229400
6762824850,42539,2,1.0,810,4602,1.0,0,0,5,6,425,385,1921,0,110034,28.7535,77.2424,1230,2734,1,50,4200000
6762825113,42539,3,2.0,1070,3600,1.0,0,0,4,8,740,330,1966,0,110055,28.8238,76.9061,1035,3610,2,61,4153800
6762825318,42539,3,2.5,1240,3056,2.0,0,0,3,7,1240,0,2004,0,110047,28.4973,77.0405,1610,3363,2,76,4080000
6762825564,42539,4,2.0,1015,51836,1.0,0,0,4,7,1015,0,1969,0,110071,28.682,77.2373,780,162696,1,57,4020000
6762825763,42539,3,2.5,1119,3604,2.0,0,0,3,8,1119,0,2011,0,110019,28.7365,77.0587,1228,3606,2,57,3960000
6762826254,42539,4,2.5,1745,2500,2.0,0,0,3,8,1745,0,2003,0,110036,28.7265,77.3362,1455,2512,1,58,3840000
6762826352,42539,2,1.0,460,4170,1.0,0,0,3,7,460,0,1939,0,110054,28.5959,77.2179,1165,4896,2,78,3839400
6762826657,42539,3,1.75,950,1500,1.5,0,0,5,7,535,415,1903,0,110053,28.4074,76.8577,565,3000,1,65,3732000
6762826688,42539,4,1.5,610,4800,1.0,0,0,3,6,610,0,1980,0,110042,28.6798,77.29,590,4500,2,74,3720000
6762827696,42539,3,2.0,650,5687,1.5,0,0,5,7,650,0,1933,0,110058,28.5215,76.9004,740,4835,1,78,3444000
6762827764,42539,3,1.0,605,2365,1.5,0,0,3,7,605,0,1901,0,110006,28.6161,76.9203,725,2632,1,74,3420000
6762827931,42539,3,2.0,895,21199,1.0,0,0,4,7,895,0,1990,0,110024,28.8596,77.2172,665,20007,3,60,3360000
6762828174,42539,3,1.75,930,7840,1.0,0,0,4,7,930,0,1971,0,110019,28.5915,77.2825,930,11489,1,56,3300000
6762828486,42539,4,1.75,765,4375,1.5,0,0,4,7,765,0,1968,0,110047,28.8031,77.1182,695,4375,2,50,3238800
6762828615,42539,3,1.75,920,3650,1.0,0,0,3,8,920,0,1966,0,110019,28.4905,76.9945,960,4005,1,63,3180000
